origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib
EWR,2013,1,1,0,37.04,21.92,53.97,230,10.35702,11.9186514756,0,1013.9,10
EWR,2013,1,1,1,37.04,21.92,53.97,230,13.80936,15.8915353008,0,1013,10
EWR,2013,1,1,2,37.94,21.92,52.09,230,12.65858,14.5672406924,0,1012.6,10
EWR,2013,1,1,3,37.94,23,54.51,230,13.80936,15.8915353008,0,1012.7,10
EWR,2013,1,1,4,37.94,24.08,57.04,240,14.96014,17.2158299092,0,1012.8,10
EWR,2013,1,1,6,39.02,26.06,59.37,270,10.35702,11.9186514756,0,1012,10
EWR,2013,1,1,7,39.02,26.96,61.63,250,8.05546,9.2700622588,0,1012.3,10
EWR,2013,1,1,8,39.02,28.04,64.43,240,11.5078,13.242946084,0,1012.5,10
EWR,2013,1,1,9,39.92,28.04,62.21,250,12.65858,14.5672406924,0,1012.2,10
EWR,2013,1,1,10,39.02,28.04,64.43,260,12.65858,14.5672406924,0,1011.9,10
EWR,2013,1,1,11,37.94,28.04,67.21,240,11.5078,13.242946084,0,1012.4,10
EWR,2013,1,1,12,39.02,28.04,64.43,240,14.96014,17.2158299092,0,1012.2,10
EWR,2013,1,1,13,39.92,28.04,62.21,250,10.35702,11.9186514756,0,1012.2,10
EWR,2013,1,1,14,39.92,28.04,62.21,260,14.96014,17.2158299092,0,1012.7,10
EWR,2013,1,1,15,41,28.04,59.65,260,13.80936,15.8915353008,0,1012.4,10
EWR,2013,1,1,16,41,26.96,57.06,260,14.96014,17.2158299092,0,1011.4,10
EWR,2013,1,1,17,39.2,28.4,64.93,270,16.11092,18.5401245176,0,NULL,10
EWR,2013,1,1,18,39.2,28.4,64.93,330,14.96014,17.2158299092,0,NULL,10
EWR,2013,1,1,19,39.02,24.08,54.68,280,13.80936,15.8915353008,0,1010.8,10
EWR,2013,1,1,20,37.94,24.08,57.04,290,9.20624,10.5943568672,0,1011.9,10
EWR,2013,1,1,21,37.04,19.94,49.62,300,13.80936,15.8915353008,0,1012.1,10
EWR,2013,1,1,22,35.96,19.04,49.83,330,11.5078,13.242946084,0,1013.2,10
EWR,2013,1,1,23,33.98,15.08,45.43,310,12.65858,14.5672406924,0,1014.1,10
EWR,2013,1,2,0,33.08,12.92,42.84,320,10.35702,11.9186514756,0,1014.4,10
EWR,2013,1,2,1,32,15.08,49.19,310,14.96014,17.2158299092,0,1015.2,10
EWR,2013,1,2,2,30.02,12.92,48.48,320,18.41248,21.1887137344,0,1016,10
EWR,2013,1,2,3,28.94,12.02,48.69,320,18.41248,21.1887137344,0,1016.5,10
EWR,2013,1,2,4,28.04,10.94,48.15,310,16.11092,18.5401245176,0,1016.4,10
EWR,2013,1,2,5,26.96,10.94,50.34,310,14.96014,17.2158299092,0,1016.3,10
EWR,2013,1,2,6,26.06,10.94,52.25,330,12.65858,14.5672406924,0,1016.3,10
EWR,2013,1,2,7,24.98,10.94,54.65,330,13.80936,15.8915353008,0,1017,10
EWR,2013,1,2,8,24.08,8.96,51.93,320,14.96014,17.2158299092,0,1016.6,10
EWR,2013,1,2,9,24.08,8.96,51.93,330,12.65858,14.5672406924,0,1016.9,10
EWR,2013,1,2,10,24.08,8.96,51.93,330,6.90468,7.9457676504,0,1016.9,10
EWR,2013,1,2,11,24.08,8.96,51.93,310,3.45234,3.9728838252,0,1017.2,10
EWR,2013,1,2,12,24.98,10.04,52.5,300,6.90468,7.9457676504,0,1017.6,10
EWR,2013,1,2,13,24.98,10.04,52.5,280,9.20624,10.5943568672,0,1018.5,10
EWR,2013,1,2,14,26.96,10.04,48.36,290,11.5078,13.242946084,0,1019,10
EWR,2013,1,2,15,28.94,10.94,46.41,280,9.20624,10.5943568672,0,1018.5,10
EWR,2013,1,2,16,30.92,12.02,44.92,300,14.96014,17.2158299092,0,1017.5,10
EWR,2013,1,2,17,32,12.92,44.74,290,12.65858,14.5672406924,0,1017.1,10
EWR,2013,1,2,18,33.98,12.92,41.33,290,16.11092,18.5401245176,0,1017.3,10
EWR,2013,1,2,19,33.98,10.94,37.86,310,17.2617,19.864419126,0,1017.8,10
EWR,2013,1,2,20,33.98,12.02,39.72,310,13.80936,15.8915353008,0,1018.5,10
EWR,2013,1,2,21,32,12.92,44.74,310,6.90468,7.9457676504,0,1018.6,10
EWR,2013,1,2,22,32,12.92,44.74,290,12.65858,14.5672406924,0,1019.7,10
EWR,2013,1,2,23,30.92,12.92,46.74,300,11.5078,13.242946084,0,1020.3,10
EWR,2013,1,3,0,30.92,14,49.01,290,6.90468,7.9457676504,0,1020.4,10
EWR,2013,1,3,1,30.02,14,50.84,280,9.20624,10.5943568672,0,1020.6,10
EWR,2013,1,3,2,30.02,14,50.84,270,5.7539,6.621473042,0,1021.2,10
EWR,2013,1,3,3,28.94,15.08,55.69,270,8.05546,9.2700622588,0,1021.7,10
EWR,2013,1,3,4,28.94,15.08,55.69,280,9.20624,10.5943568672,0,1022.2,10
EWR,2013,1,3,5,28.04,15.08,57.79,290,8.05546,9.2700622588,0,1021.8,10
EWR,2013,1,3,6,28.04,15.08,57.79,280,10.35702,11.9186514756,0,1022.1,10
EWR,2013,1,3,7,26.96,15.08,60.41,270,8.05546,9.2700622588,0,1022.3,10
EWR,2013,1,3,8,26.96,15.08,60.41,280,6.90468,7.9457676504,0,1022.1,10
EWR,2013,1,3,9,26.06,15.08,62.7,290,5.7539,6.621473042,0,1021.9,10
EWR,2013,1,3,10,26.06,15.08,62.7,290,5.7539,6.621473042,0,1022,10
EWR,2013,1,3,11,26.06,15.98,65.21,310,6.90468,7.9457676504,0,1022.4,10
EWR,2013,1,3,12,26.06,15.98,65.21,320,5.7539,6.621473042,0,1022.2,10
EWR,2013,1,3,13,26.96,17.06,65.84,310,5.7539,6.621473042,0,1022.4,10
EWR,2013,1,3,14,28.04,17.06,62.97,290,5.7539,6.621473042,0,1022.8,10
EWR,2013,1,3,15,30.92,15.08,51.38,290,9.20624,10.5943568672,0,1022.1,10
EWR,2013,1,3,16,30.92,14,49.01,0,4.60312,5.2971784336,0,1021,10
EWR,2013,1,3,17,33.08,12.92,42.84,260,8.05546,9.2700622588,0,1019.8,10
EWR,2013,1,3,18,33.98,12.92,41.33,260,9.20624,10.5943568672,0,1019.1,10
EWR,2013,1,3,19,33.98,12.92,41.33,240,8.05546,9.2700622588,0,1018.7,10
EWR,2013,1,3,20,33.08,14,44.92,250,11.5078,13.242946084,0,1018.8,10
EWR,2013,1,3,21,32,14,46.92,270,10.35702,11.9186514756,0,1018.9,10
EWR,2013,1,3,22,30.02,15.08,53.29,240,9.20624,10.5943568672,0,1019.3,10
EWR,2013,1,3,23,30.92,15.08,51.38,240,10.35702,11.9186514756,0,1019.6,10
EWR,2013,1,4,0,30.92,15.08,51.38,230,11.5078,13.242946084,0,1019.6,10
EWR,2013,1,4,1,30.92,15.08,51.38,240,11.5078,13.242946084,0,1019.4,10
EWR,2013,1,4,2,30.92,15.98,53.44,240,12.65858,14.5672406924,0,1019,10
EWR,2013,1,4,3,28.94,17.06,60.69,230,10.35702,11.9186514756,0,1019,10
EWR,2013,1,4,4,30.02,17.96,60.38,240,10.35702,11.9186514756,0,1018.4,10
EWR,2013,1,4,5,30.02,17.96,60.38,240,13.80936,15.8915353008,0,1018,10
EWR,2013,1,4,6,28.94,17.96,63.1,230,8.05546,9.2700622588,0,1018.1,10
EWR,2013,1,4,7,30.02,19.04,63.24,240,10.35702,11.9186514756,0,1018.3,10
EWR,2013,1,4,8,28.94,19.04,66.09,250,11.5078,13.242946084,0,1018.2,10
EWR,2013,1,4,9,28.94,19.94,68.68,230,6.90468,7.9457676504,0,1018.4,10
EWR,2013,1,4,10,30.92,21.02,66.34,240,11.5078,13.242946084,0,1018.4,10
EWR,2013,1,4,11,33.08,21.02,60.81,230,16.11092,18.5401245176,0,1018.7,10
EWR,2013,1,4,12,33.98,21.92,60.93,240,10.35702,11.9186514756,0,1018.7,10
EWR,2013,1,4,13,35.06,21.92,58.37,250,13.80936,15.8915353008,0,1019,10
EWR,2013,1,4,14,35.96,21.02,54.21,250,14.96014,17.2158299092,0,1019,10
EWR,2013,1,4,15,37.04,19.04,47.75,260,16.11092,18.5401245176,0,1018.1,10
EWR,2013,1,4,16,37.04,19.04,47.75,270,20.71404,23.8373029512,0,1016.9,10
EWR,2013,1,4,17,39.92,19.94,44.33,260,17.2617,19.864419126,0,1015.8,10
EWR,2013,1,4,18,37.94,19.04,46.09,250,24.16638,27.8101867764,0,1015.1,10
EWR,2013,1,4,19,37.94,19.94,47.89,250,21.86482,25.1615975596,0,1014.7,10
EWR,2013,1,4,20,37.94,19.94,47.89,250,18.41248,21.1887137344,0,1014.6,10
EWR,2013,1,4,21,37.04,19.94,49.62,250,17.2617,19.864419126,0,1014.8,10
EWR,2013,1,4,22,35.96,21.02,54.21,230,13.80936,15.8915353008,0,1015.2,10
EWR,2013,1,4,23,35.06,21.02,56.18,230,9.20624,10.5943568672,0,1015.4,10
EWR,2013,1,5,0,35.06,21.02,56.18,240,11.5078,13.242946084,0,1015.5,10
EWR,2013,1,5,1,35.06,19.94,53.66,250,11.5078,13.242946084,0,1015.3,10
EWR,2013,1,5,2,35.06,19.94,53.66,250,13.80936,15.8915353008,0,1015.7,10
EWR,2013,1,5,3,33.98,19.04,53.91,250,11.5078,13.242946084,0,1016.2,10
EWR,2013,1,5,4,33.08,19.04,55.89,240,11.5078,13.242946084,0,1016.6,10
EWR,2013,1,5,5,33.08,17.96,53.36,260,10.35702,11.9186514756,0,1017.1,10
EWR,2013,1,5,6,33.08,17.06,51.33,270,10.35702,11.9186514756,0,1017.7,10
EWR,2013,1,5,7,32,17.06,53.6,280,12.65858,14.5672406924,0,1018.8,10
EWR,2013,1,5,8,32,17.06,53.6,290,18.41248,21.1887137344,0,1019.3,10
EWR,2013,1,5,9,32,17.06,53.6,260,11.5078,13.242946084,0,1020.2,10
EWR,2013,1,5,10,32,17.06,53.6,240,12.65858,14.5672406924,0,1021,10
EWR,2013,1,5,11,33.08,17.96,53.36,250,10.35702,11.9186514756,0,1022.4,10
EWR,2013,1,5,12,32,19.04,58.37,250,9.20624,10.5943568672,0,1023,10
EWR,2013,1,5,13,35.06,19.94,53.66,240,9.20624,10.5943568672,0,1024.5,10
EWR,2013,1,5,14,37.94,21.02,50.14,270,10.35702,11.9186514756,0,1024.8,10
EWR,2013,1,5,15,41,21.02,44.51,310,10.35702,11.9186514756,0,1024.9,10
EWR,2013,1,5,16,42.08,19.94,40.77,320,14.96014,17.2158299092,0,1024.6,10
EWR,2013,1,5,17,42.98,19.94,39.38,310,13.80936,15.8915353008,0,1023.9,10
EWR,2013,1,5,18,44.06,19.94,37.79,290,11.5078,13.242946084,0,1023.6,10
EWR,2013,1,5,19,44.06,19.94,37.79,310,9.20624,10.5943568672,0,1024,10
EWR,2013,1,5,20,42.98,19.04,37.9,310,8.05546,9.2700622588,0,1024.1,10
EWR,2013,1,5,21,41,19.94,42.51,310,4.60312,5.2971784336,0,1024,10
EWR,2013,1,5,22,39.92,19.94,44.33,280,4.60312,5.2971784336,0,1024.7,10
EWR,2013,1,5,23,39.02,21.92,49.93,240,8.05546,9.2700622588,0,1025,10
EWR,2013,1,6,0,35.96,21.92,56.32,240,6.90468,7.9457676504,0,1024.8,10
EWR,2013,1,6,1,33.98,21.92,60.93,240,4.60312,5.2971784336,0,1024.2,10
EWR,2013,1,6,2,33.08,23,66.11,220,4.60312,5.2971784336,0,1024.1,10
EWR,2013,1,6,3,33.08,23,66.11,210,4.60312,5.2971784336,0,1023.3,10
EWR,2013,1,6,4,32,23,69.04,210,4.60312,5.2971784336,0,1022.8,10
EWR,2013,1,6,5,33.98,23,63.77,210,5.7539,6.621473042,0,1023.3,10
EWR,2013,1,6,6,33.98,23,63.77,230,9.20624,10.5943568672,0,1023.4,10
EWR,2013,1,6,7,33.98,23,63.77,200,4.60312,5.2971784336,0,1022.5,10
EWR,2013,1,6,8,33.98,24.08,66.72,200,5.7539,6.621473042,0,1021.7,10
EWR,2013,1,6,9,33.08,28.04,81.5,200,8.05546,9.2700622588,0,1020.5,10
EWR,2013,1,6,10,33.8,30.2,86.49,210,4.60312,5.2971784336,0,NULL,6
EWR,2013,1,6,11,33.98,30.92,88.42,210,5.7539,6.621473042,0,1020.3,6
EWR,2013,1,6,12,33.8,32,93.03,220,9.20624,10.5943568672,0,NULL,6
EWR,2013,1,6,13,35.6,32,86.59,240,8.05546,9.2700622588,0,NULL,6
EWR,2013,1,6,14,35.6,32,86.59,230,8.05546,9.2700622588,0,NULL,7
EWR,2013,1,6,15,37.4,30.2,74.98,250,11.5078,13.242946084,0,NULL,9
EWR,2013,1,6,16,42.98,30.02,59.93,240,10.35702,11.9186514756,0,1017.4,10
EWR,2013,1,6,17,46.04,28.94,51.03,250,10.35702,11.9186514756,0,1016.3,10
EWR,2013,1,6,18,46.94,26.96,45.48,240,13.80936,15.8915353008,0,1015.5,10
EWR,2013,1,6,19,48.02,24.98,40.22,250,14.96014,17.2158299092,0,1015.1,10
EWR,2013,1,6,20,46.94,24.08,40.35,260,11.5078,13.242946084,0,1015,10
EWR,2013,1,6,21,44.96,26.06,47.23,260,6.90468,7.9457676504,0,1015.5,10
EWR,2013,1,6,22,44.06,26.06,48.87,270,8.05546,9.2700622588,0,1016,10
EWR,2013,1,6,23,44.06,24.98,46.73,250,10.35702,11.9186514756,0,1016.5,10
EWR,2013,1,7,0,42.98,24.98,48.7,260,10.35702,11.9186514756,0,1016.6,10
EWR,2013,1,7,1,42.98,26.06,50.94,270,10.35702,11.9186514756,0,1016.5,10
EWR,2013,1,7,2,42.08,26.06,52.73,270,10.35702,11.9186514756,0,1016.7,10
EWR,2013,1,7,3,41,26.96,57.06,270,6.90468,7.9457676504,0,1017.2,10
EWR,2013,1,7,4,39.92,26.96,59.5,270,9.20624,10.5943568672,0,1017.6,10
EWR,2013,1,7,5,39.92,26.96,59.5,260,8.05546,9.2700622588,0,1018.1,10
EWR,2013,1,7,6,37.94,26.96,64.29,270,8.05546,9.2700622588,0,1018.7,10
EWR,2013,1,7,7,35.96,26.96,69.51,280,6.90468,7.9457676504,0,1019.3,10
EWR,2013,1,7,8,37.04,28.04,69.63,260,6.90468,7.9457676504,0,1019.8,10
EWR,2013,1,7,9,35.96,28.04,72.66,280,9.20624,10.5943568672,0,1020.6,10
EWR,2013,1,7,10,35.06,26.96,72.03,290,4.60312,5.2971784336,0,1021.7,10
EWR,2013,1,7,11,35.96,28.04,72.66,270,6.90468,7.9457676504,0,1023.1,10
EWR,2013,1,7,12,37.94,28.94,69.73,250,8.05546,9.2700622588,0,1024.1,10
EWR,2013,1,7,13,39.92,28.94,64.54,280,5.7539,6.621473042,0,1025.1,10
EWR,2013,1,7,14,44.06,26.96,50.73,300,13.80936,15.8915353008,0,1025.9,10
EWR,2013,1,7,15,44.96,24.08,43.49,320,14.96014,17.2158299092,0,1026.5,10
EWR,2013,1,7,16,46.04,23,39.9,300,11.5078,13.242946084,0,1026.6,10
EWR,2013,1,7,17,46.94,21.92,36.85,300,14.96014,17.2158299092,0,1026.9,10
EWR,2013,1,7,18,46.04,19.94,35.05,360,11.5078,13.242946084,0,1027.1,10
EWR,2013,1,7,19,46.94,19.94,33.88,290,11.5078,13.242946084,0,1027.6,10
EWR,2013,1,7,20,44.96,17.96,33.55,320,8.05546,9.2700622588,0,1028.4,10
EWR,2013,1,7,21,42.98,17.96,36.18,330,6.90468,7.9457676504,0,1028.8,10
EWR,2013,1,7,22,42.08,17.96,37.46,320,3.45234,3.9728838252,0,1029.1,10
EWR,2013,1,7,23,41,19.04,40.9,310,4.60312,5.2971784336,0,1029.3,10
EWR,2013,1,8,0,39.92,21.02,46.41,0,0,0,0,1029.3,10
EWR,2013,1,8,1,39.92,21.02,46.41,0,0,0,0,1029.1,10
EWR,2013,1,8,2,37.04,24.08,59.09,0,0,0,0,1028.9,10
EWR,2013,1,8,3,35.96,23,58.94,230,3.45234,3.9728838252,0,1029.3,10
EWR,2013,1,8,4,32,23,69.04,210,6.90468,7.9457676504,0,1029.2,10
EWR,2013,1,8,5,32,23,69.04,210,3.45234,3.9728838252,0,1029.2,10
EWR,2013,1,8,6,32,24.08,72.24,210,6.90468,7.9457676504,0,1029,10
EWR,2013,1,8,7,32,24.98,75,190,3.45234,3.9728838252,0,1028.7,10
EWR,2013,1,8,8,30.92,26.06,81.95,190,4.60312,5.2971784336,0,1028.2,10
EWR,2013,1,8,9,30.02,24.98,81.27,240,4.60312,5.2971784336,0,1028.6,10
EWR,2013,1,8,10,28.94,24.08,81.8,210,4.60312,5.2971784336,0,1028.9,10
EWR,2013,1,8,11,30.92,24.98,78.35,0,0,0,0,1029.2,9
EWR,2013,1,8,12,30.02,24.98,81.27,210,5.7539,6.621473042,0,1030,8
EWR,2013,1,8,13,35.06,26.96,72.03,240,6.90468,7.9457676504,0,1030.5,9
EWR,2013,1,8,14,39.02,28.94,66.85,230,9.20624,10.5943568672,0,1030.3,9
EWR,2013,1,8,15,44.06,28.94,55.02,220,13.80936,15.8915353008,0,1029.7,9
EWR,2013,1,8,16,46.04,30.02,53.33,230,10.35702,11.9186514756,0,1028.2,10
EWR,2013,1,8,17,46.94,30.02,51.55,230,14.96014,17.2158299092,0,1027.9,10
EWR,2013,1,8,18,48.92,30.02,47.86,240,11.5078,13.242946084,0,1027.6,10
EWR,2013,1,8,19,48.92,30.02,47.86,220,11.5078,13.242946084,0,1027.9,10
EWR,2013,1,8,20,48.92,28.04,44.14,240,11.5078,13.242946084,0,1027.7,10
EWR,2013,1,8,21,46.04,28.04,49.19,230,10.35702,11.9186514756,0,1027.8,10
EWR,2013,1,8,22,44.06,28.94,55.02,220,6.90468,7.9457676504,0,1028.1,10
EWR,2013,1,8,23,39.92,30.92,69.96,220,8.05546,9.2700622588,0,1028.7,10
EWR,2013,1,9,0,39.92,30.92,69.96,200,5.7539,6.621473042,0,1028.7,10
EWR,2013,1,9,1,39.02,30.02,69.86,210,5.7539,6.621473042,0,1028.6,10
EWR,2013,1,9,2,37.94,28.94,69.73,210,3.45234,3.9728838252,0,1028.6,10
EWR,2013,1,9,3,37.94,28.94,69.73,210,4.60312,5.2971784336,0,1029.3,10
EWR,2013,1,9,4,37.04,28.94,72.24,230,4.60312,5.2971784336,0,1029.2,10
EWR,2013,1,9,5,35.96,28.94,75.39,0,0,0,0,1029.1,10
EWR,2013,1,9,6,33.98,28.94,81.57,0,0,0,0,1028.7,10
EWR,2013,1,9,7,35.06,28.94,78.13,0,0,0,0,1028.5,10
EWR,2013,1,9,8,35.96,30.02,78.79,0,0,0,0,1028.4,10
EWR,2013,1,9,9,35.96,28.94,75.39,0,0,0,0,1028.2,10
EWR,2013,1,9,10,35.06,28.94,78.13,0,0,0,0,1028,9
EWR,2013,1,9,11,35.06,28.94,78.13,0,0,0,0,1028.4,9
EWR,2013,1,9,12,33.98,30.02,85.24,260,4.60312,5.2971784336,0,1029,6
EWR,2013,1,9,13,37.04,30.92,78.31,0,0,0,0,1028.7,7
EWR,2013,1,9,14,42.08,32,67.22,0,0,0,0,1028.3,7
EWR,2013,1,9,15,44.06,33.08,65.07,170,3.45234,3.9728838252,0,1026.4,7
EWR,2013,1,9,16,46.94,33.98,60.47,230,5.7539,6.621473042,0,1025.9,7
EWR,2013,1,9,17,46.04,33.98,62.56,200,9.20624,10.5943568672,0,1024.1,9
EWR,2013,1,9,18,46.94,33.98,60.47,270,8.05546,9.2700622588,0,1024.7,9
EWR,2013,1,9,19,46.94,35.06,63.13,180,8.05546,9.2700622588,0,1021.1,8
EWR,2013,1,9,20,48.92,37.04,63.39,210,13.80936,15.8915353008,0,1020.7,9
EWR,2013,1,9,21,50,37.04,60.89,240,11.5078,13.242946084,0,1021,10
EWR,2013,1,9,22,48.92,37.04,63.39,240,12.65858,14.5672406924,0,1021.7,10
EWR,2013,1,9,23,48.02,37.04,65.56,250,10.35702,11.9186514756,0,1022.1,10
EWR,2013,1,10,0,46.94,37.04,68.28,260,11.5078,13.242946084,0,1022.6,10
EWR,2013,1,10,1,44.96,37.04,73.59,230,11.5078,13.242946084,0,1022.5,10
EWR,2013,1,10,2,44.06,35.96,72.98,230,12.65858,14.5672406924,0,1022.5,10
EWR,2013,1,10,3,44.06,35.06,70.42,240,12.65858,14.5672406924,0,1023,10
EWR,2013,1,10,4,42.98,33.08,67.81,220,8.05546,9.2700622588,0,1023.7,10
EWR,2013,1,10,5,41,32,70.08,230,8.05546,9.2700622588,0,1024.6,10
EWR,2013,1,10,6,39.02,30.02,69.86,210,9.20624,10.5943568672,0,1025.9,10
EWR,2013,1,10,7,39.02,28.94,66.85,230,6.90468,7.9457676504,0,1026.9,10
EWR,2013,1,10,8,39.92,26.96,59.5,270,5.7539,6.621473042,0,1027.5,10
EWR,2013,1,10,9,41,26.06,54.97,320,6.90468,7.9457676504,0,1028.2,10
EWR,2013,1,10,10,41,26.06,54.97,300,12.65858,14.5672406924,0,1029,10
EWR,2013,1,10,11,39.92,24.98,54.81,280,6.90468,7.9457676504,0,1030,10
EWR,2013,1,10,12,41,24.98,52.56,330,6.90468,7.9457676504,0,1031.4,10
EWR,2013,1,10,13,42.98,24.98,48.7,330,8.05546,9.2700622588,0,1032.2,10
EWR,2013,1,10,14,44.96,23,41.56,320,17.2617,19.864419126,0,1032.7,10
EWR,2013,1,10,15,44.96,21.92,39.72,320,11.5078,13.242946084,0,1032.8,10
EWR,2013,1,10,16,46.94,21.92,36.85,330,13.80936,15.8915353008,0,1032,10
EWR,2013,1,10,17,48.92,21.92,34.21,320,14.96014,17.2158299092,0,1031.3,10
EWR,2013,1,10,18,50,21.92,32.86,310,12.65858,14.5672406924,0,1031.5,10
EWR,2013,1,10,19,50,21.92,32.86,300,11.5078,13.242946084,0,1031.9,10
EWR,2013,1,10,20,48.92,21.02,32.93,330,10.35702,11.9186514756,0,1032.4,10
EWR,2013,1,10,21,46.94,21.92,36.85,310,8.05546,9.2700622588,0,1032.8,10
EWR,2013,1,10,22,46.04,21.92,38.12,320,8.05546,9.2700622588,0,1033.3,10
EWR,2013,1,10,23,44.96,23,41.56,330,6.90468,7.9457676504,0,1033.8,10
EWR,2013,1,11,0,44.06,23,43.02,340,4.60312,5.2971784336,0,1033.6,10
EWR,2013,1,11,1,44.06,23,43.02,340,6.90468,7.9457676504,0,1034,10
EWR,2013,1,11,2,41,24.98,52.56,10,8.05546,9.2700622588,0,1033.5,10
EWR,2013,1,11,3,39.02,24.98,56.77,30,8.05546,9.2700622588,0,1034,10
EWR,2013,1,11,4,39.92,24.08,52.79,0,0,0,0,1034.4,10
EWR,2013,1,11,5,37.94,24.98,59.22,20,4.60312,5.2971784336,0,1033.6,10
